x-axis,I_B2,I_B1,VG_B1,VG_B2
second,Ampere,Ampere,Volt,Volt
+3.10000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+80.77891544E-03
+3.15000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+3.20000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+3.25000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+3.30000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+3.35000E-06,-65.32657892E-03,-105.52758351E-03,+14.89447241649E+00,+60.67841314E-03
+3.40000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+3.45000E-06,-185.92959270E-03,-105.52758351E-03,+14.89447241649E+00,+80.77891544E-03
+3.50000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+80.77891544E-03
+3.55000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+3.60000E-06,-105.52758351E-03,-105.52758351E-03,+14.89447241649E+00,+60.67841314E-03
+3.65000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+3.70000E-06,-145.72858810E-03,-65.32657891E-03,+14.89447241649E+00,+40.57791084E-03
+3.75000E-06,-65.32657892E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+3.80000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+3.85000E-06,-65.32657892E-03,+15.07543027E-03,+14.89447241649E+00,+80.77891544E-03
+3.90000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+3.95000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+80.77891544E-03
+4.00000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+4.05000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+4.10000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+4.15000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+4.20000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+4.25000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+4.30000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+4.35000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+4.40000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+4.45000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+4.50000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+4.55000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+4.60000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+4.65000E-06,-65.32657892E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+4.70000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+4.75000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+4.80000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+4.85000E-06,-185.92959270E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+4.90000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+4.95000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+5.00000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+80.77891544E-03
+5.05000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+5.10000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+5.15000E-06,-105.52758351E-03,-105.52758351E-03,+14.89447241649E+00,+60.67841314E-03
+5.20000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+5.25000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+5.30000E-06,-145.72858810E-03,-105.52758351E-03,+14.89447241649E+00,+40.57791084E-03
+5.35000E-06,-185.92959270E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+5.40000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+5.45000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+5.50000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+5.55000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+5.60000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+5.65000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+5.70000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+80.77891544E-03
+5.75000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+5.80000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+5.85000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+5.90000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+5.95000E-06,-105.52758351E-03,-105.52758351E-03,+14.89447241649E+00,+60.67841314E-03
+6.00000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+80.77891544E-03
+6.05000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+6.10000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+6.15000E-06,-105.52758351E-03,-105.52758351E-03,+14.89447241649E+00,+60.67841314E-03
+6.20000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+80.77891543E-03
+6.25000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+6.30000E-06,-145.72858810E-03,+55.27643487E-03,+14.89447241649E+00,+40.57791084E-03
+6.35000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
