x-axis,I_B2,I_B1,VG_B1,VG_B2
second,Ampere,Ampere,Volt,Volt
-3.7200E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-3.7100E-03,-145.7286E-03,-22.6130E-03,+14.8944724E+00,+3.3182161E+00
-3.7000E-03,-128.1406E-03,-47.7386E-03,+14.8944724E+00,+3.3056533E+00
-3.6900E-03,-67.8391E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-3.6800E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3081658E+00
-3.6700E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-3.6600E-03,-145.7286E-03,-47.7386E-03,+14.8944724E+00,+3.3370603E+00
-3.6500E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-3.6400E-03,-123.1155E-03,-65.3266E-03,+14.8944724E+00,+3.3257538E+00
-3.6300E-03,-145.7286E-03,-27.6381E-03,+14.8944724E+00,+3.2968593E+00
-3.6200E-03,-145.7286E-03,-20.1004E-03,+14.8944724E+00,+3.3056533E+00
-3.6100E-03,-145.7286E-03,+90.4523E-03,+14.8944724E+00,+3.2981156E+00
-3.6000E-03,-168.3417E-03,-87.9396E-03,+14.8944724E+00,+3.2968593E+00
-3.5900E-03,-145.7286E-03,-103.0150E-03,+14.8944724E+00,+3.3182161E+00
-3.5800E-03,-82.9145E-03,-92.9648E-03,+14.8944724E+00,+3.3282663E+00
-3.5700E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-3.5600E-03,-87.9396E-03,+15.0754E-03,+14.8944724E+00,+3.3257538E+00
-3.5500E-03,-140.7035E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-3.5400E-03,-128.1406E-03,-47.7386E-03,+14.8944724E+00,+3.3370603E+00
-3.5300E-03,-65.3266E-03,-62.8140E-03,+14.8944724E+00,+3.2968593E+00
-3.5200E-03,-123.1155E-03,+15.0754E-03,+14.8944724E+00,+3.3081658E+00
-3.5100E-03,-108.0401E-03,-22.6130E-03,+14.8944724E+00,+3.2968593E+00
-3.5000E-03,-145.7286E-03,-2.5125E-03,+14.8944724E+00,+3.3282663E+00
-3.4900E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3358040E+00
-3.4800E-03,-145.7286E-03,-42.7135E-03,+14.8944724E+00,+3.2968593E+00
-3.4700E-03,-65.3266E-03,-65.3266E-03,+14.8944724E+00,+3.3182161E+00
-3.4600E-03,-145.7286E-03,-2.5125E-03,+14.8944724E+00,+3.3056533E+00
-3.4500E-03,-145.7286E-03,-62.8140E-03,+14.8944724E+00,+3.2968593E+00
-3.4400E-03,-65.3266E-03,-7.5376E-03,+14.8944724E+00,+3.3370603E+00
-3.4300E-03,-108.0401E-03,-65.3266E-03,+14.8944724E+00,+3.3157035E+00
-3.4200E-03,-65.3266E-03,-2.5125E-03,+14.8944724E+00,+3.3282663E+00
-3.4100E-03,-145.7286E-03,-62.8140E-03,+14.8944724E+00,+3.3370603E+00
-3.4000E-03,-123.1155E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-3.3900E-03,-145.7286E-03,-22.6130E-03,+14.8944724E+00,+3.3157035E+00
-3.3800E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3282663E+00
-3.3700E-03,-67.8391E-03,-65.3266E-03,+14.8944724E+00,+3.3358040E+00
-3.3600E-03,-145.7286E-03,-7.5376E-03,+14.8944724E+00,+3.2968593E+00
